id,label,alt_labels,parent_id
SK5903,Online Dictionary for Library and Information Science ODLIS,onlinedictionaryforlibraryandinformationscienceodlis,43232609
SK5906,ProQuest Library and Information Science Abstracts LISA,proquestlibraryandinformationscienceabstractslisa,43232609
SK5907,Social networking platforms,socialnetworkingplatforms,43232107
SK5908,Thomson Reuters Web of Science,thomsonreuterswebofscience,43232609
SK5932,Audacity,,43232005
SK5947,Social computing tools,socialcomputingtools,43232107
SK5961,Scientific Learning Fast ForWord,scientificlearningfastforword,43232502
SK5980,Cuadra Associates STAR/Museums,"cuadra associates star,cuadraassociatesstar/museums,museums",43232306
SK5982,Ex Libris Group DigiTool,exlibrisgroupdigitool,43232306
SK5988,Re:discovery Software Proficio,re:discoverysoftwareproficio,43232306
SK5990,Willoughby Associates MIMSY XG,willoughbyassociatesmimsyxg,43232306
SK5991,Questor Systems QScan32,questorsystemsqscan32,43232306
SK5996,Dynix Digital Library,dynixdigitallibrary,43232609
SK6009,National Library of Medicine DOCLINE,nationallibraryofmedicinedocline,43232609
SK6010,National Library of Medicine Medline,nationallibraryofmedicinemedline,43232306
SK6020,Thomson Scientific Dialog,thomsonscientificdialog,43232306
SK6030,Elucidat,,43232102
SK6036,Performance Technology Associates DocuTools,performancetechnologyassociatesdocutools,43232112
SK6046,Special Education Student Information System SESIS,specialeducationstudentinformationsystemsesis,43232306
SK6050,Maxon Cinema 4D,maxoncinema4d,43232103
SK6054,DRAWSTITCH Artistic Sewing Suite,drawstitchartisticsewingsuite,43232604
SK6097,e-on software Vue,"e on software vue,e-onsoftwarevue,eon software vue",43232102
SK6111,Microsoft Expression Design,microsoftexpressiondesign,43232102
SK6114,NodeBox,,43232102
SK6125,Skencil,,43232102
SK6142,C-DESIGN Fashion,"c design fashion,c-designfashion,cdesign fashion",43232604
